"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
20,2,26,"male",3,9,9.32579770000302,9,"baseline"
20,2,26,"male",4,4,4.24614669999573,4.8,"baseline"
20,2,26,"male",5,2,1.84653390000312,2.9,"baseline"
20,2,26,"male",6,7,7.99365450000187,8,"baseline"
20,2,26,"male",7,3,3.41268229999696,3.8,"effect"
20,2,26,"male",8,6,5.16511479999463,6.1,"effect"
20,2,26,"male",9,5,4.62958149999758,5.6,"effect"
20,2,26,"male",10,2,1.24752460000309,2.2,"effect"
20,2,26,"male",11,9,9.21086230000219,8.8,"effect"
20,2,26,"male",12,4,3.37929260000237,4.1,"effect"
21,3,22,"male",1,5,5.16427000000112,7,"baseline"
21,3,22,"male",2,3,2.11216589999822,4,"baseline"
21,3,22,"male",3,9,8.05999679999513,10,"baseline"
21,3,22,"male",4,4,3.99584469999536,4,"baseline"
21,3,22,"male",5,2,1.37932619999629,2,"baseline"
21,3,22,"male",6,7,5.51058159999957,6,"baseline"
21,3,22,"male",7,3,2.61556940000446,4,"effect"
21,3,22,"male",8,6,5.87940670000535,7,"effect"
21,3,22,"male",9,5,3.8608619000006,5,"effect"
21,3,22,"male",10,2,0.132492999997339,3,"effect"
21,3,22,"male",11,9,7.76404560000083,9,"effect"
21,3,22,"male",12,4,3.77988759999425,5,"effect"
22,1,23,"male",1,5,6.22852520000015,4,"baseline"
22,1,23,"male",2,3,3.23220859999856,3.5,"baseline"
22,1,23,"male",3,9,6.69444219999423,5,"baseline"
22,1,23,"male",4,4,5.31049880000501,3,"baseline"
22,1,23,"male",5,2,1.63305430000037,2,"baseline"
22,1,23,"male",6,7,5.29803710000124,5,"baseline"
22,1,23,"male",7,3,2.76226830000087,2,"effect"
22,1,23,"male",8,6,5.14697450000676,4,"effect"
22,1,23,"male",9,5,5.012427200003,4,"effect"
22,1,23,"male",10,2,1.84585550000338,2,"effect"
22,1,23,"male",11,9,7.42700959999638,6,"effect"
22,1,23,"male",12,4,4.43127000000095,4,"effect"
23,2,22,"male",1,5,6.42608099999779,8.5,"baseline"
23,2,22,"male",2,3,2.41395749999356,3.5,"baseline"
23,2,22,"male",3,9,8.81587130000116,11,"baseline"
23,2,22,"male",4,4,2.59739770000306,3,"baseline"
23,2,22,"male",5,2,1.49841089999973,2.5,"baseline"
23,2,22,"male",6,7,4.26266469999973,6,"baseline"
23,2,22,"male",7,3,2.24626230000285,3.5,"effect"
23,2,22,"male",8,6,5.26395809999667,7,"effect"
23,2,22,"male",9,5,4.08037180000247,5.5,"effect"
23,2,22,"male",10,2,1.51612109999405,2.5,"effect"
23,2,22,"male",11,9,8.31300770000234,13,"effect"
23,2,22,"male",12,4,3.64739150000241,5.5,"effect"
24,3,23,"female",1,5,5.41277490000357,7,"baseline"
24,3,23,"female",2,3,3.82870779999939,4,"baseline"
24,3,23,"female",3,9,8.92846959999588,9,"baseline"
24,3,23,"female",4,4,3.19878590000008,4,"baseline"
24,3,23,"female",5,2,1.84898610000528,3,"baseline"
24,3,23,"female",6,7,6.02848670000094,7,"baseline"
24,3,23,"female",7,3,3.23111799999606,4,"effect"
24,3,23,"female",8,6,5.51261610000074,7,"effect"
24,3,23,"female",9,5,4.58207680000487,6,"effect"
24,3,23,"female",10,2,1.4459296999994,3,"effect"
24,3,23,"female",11,9,7.88010290000238,10,"effect"
24,3,23,"female",12,4,3.26272899999458,5,"effect"
25,1,23,"male",1,5,4.06269030000112,4.8,"baseline"
25,1,23,"male",2,3,2.8637735999946,3.7,"baseline"
25,1,23,"male",3,9,8.77807879999455,9,"baseline"
25,1,23,"male",4,4,3.19914869999775,4.2,"baseline"
25,1,23,"male",5,2,2.18450409999787,1.9,"baseline"
25,1,23,"male",6,7,6.64389690000098,7.1,"baseline"
25,1,23,"male",7,3,2.87967519999802,3.1,"effect"
25,1,23,"male",8,6,5.52859000000171,6.3,"effect"
25,1,23,"male",9,5,4.5110671999937,5.6,"effect"
25,1,23,"male",10,2,2.03269929999806,2.2,"effect"
25,1,23,"male",11,9,8.66150999999809,9,"effect"
25,1,23,"male",12,4,3.21771360000275,4.1,"effect"
26,2,21,"female",1,5,4.34813510000095,6,"baseline"
26,2,21,"female",2,3,2.63071650000347,4,"baseline"
26,2,21,"female",3,9,7.94710219999979,10,"baseline"
26,2,21,"female",4,4,3.41369059999852,5,"baseline"
26,2,21,"female",5,2,1.58197029999428,3,"baseline"
26,2,21,"female",6,7,6.42856759999995,9,"baseline"
26,2,21,"female",7,3,2.99819330000173,4,"effect"
26,2,21,"female",8,6,5.76379359999555,7,"effect"
26,2,21,"female",9,5,4.57812349999585,6,"effect"
26,2,21,"female",10,2,1.67640440000105,3,"effect"
26,2,21,"female",11,9,7.39630889999535,10,"effect"
26,2,21,"female",12,4,3.28169599999819,5,"effect"
27,3,23,"female",1,5,5.91354769999452,8,"baseline"
27,3,23,"female",2,3,3.56505959999777,5,"baseline"
27,3,23,"female",3,9,8.49691760000132,10,"baseline"
27,3,23,"female",4,4,3.38030379999691,5,"baseline"
27,3,23,"female",5,2,1.66318489999685,2,"baseline"
27,3,23,"female",6,7,6.46336800000427,8,"baseline"
27,3,23,"female",7,3,2.88111860000208,3,"effect"
27,3,23,"female",8,6,6.34729419999348,4,"effect"
27,3,23,"female",9,5,5.32824329999858,5,"effect"
